City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather Description,Rain (inches),Snow (inches)
167,Sosnovo-Ozerskoye,RU,52.52,111.54,60.55,71,97,3.98,overcast clouds,0.0,0.0
168,Rio Verde De Mato Grosso,BR,-18.92,-54.84,72.01,44,0,3.6,clear sky,0.0,0.0
169,Tasiilaq,GL,65.61,-37.64,53.6,50,90,16.11,overcast clouds,0.0,0.0
170,Gamba,GA,-2.65,10.0,71.33,95,13,3.49,few clouds,0.0,0.0
171,Neuquen,AR,-38.95,-68.06,50.0,61,100,4.7,overcast clouds,0.0,0.0
172,Maceio,BR,-9.67,-35.74,69.8,94,40,2.24,scattered clouds,0.0,0.0
173,Jumla,NP,29.27,82.18,60.6,71,100,1.7,light rain,0.6,0.0
174,Geraldton,AU,-28.77,114.6,66.2,25,0,27.51,clear sky,0.0,0.0
175,Rocha,UY,-34.48,-54.33,57.56,94,100,8.7,overcast clouds,0.0,0.0
176,Owando,CG,-0.48,15.9,73.26,85,90,3.51,overcast clouds,0.0,0.0
177,Sinnamary,GF,5.38,-52.95,78.3,86,0,8.5,clear sky,0.0,0.0
178,Bathsheba,BB,13.22,-59.52,82.4,83,40,21.92,haze,0.0,0.0
179,La Ronge,CA,55.1,-105.28,64.4,48,5,8.05,clear sky,0.0,0.0
180,Narsaq,GL,60.92,-46.05,51.8,57,100,4.7,overcast clouds,0.0,0.0
181,Ayaviri,PE,-14.89,-70.59,42.08,51,2,2.06,clear sky,0.0,0.0
182,Moosomin,CA,50.13,-101.67,57.94,71,39,7.7,scattered clouds,0.0,0.0
183,Leeton,AU,-34.57,146.4,48.2,100,90,10.29,overcast clouds,0.0,0.0
184,Jauharabad,PK,32.29,72.28,91.87,32,0,6.73,clear sky,0.0,0.0
185,Sept-Iles,CA,50.2,-66.38,54.0,100,90,6.93,mist,0.0,0.0
186,Filadelfia,US,39.95,-75.16,80.6,61,40,6.93,scattered clouds,0.0,0.0
187,Quijingue,BR,-10.75,-39.21,66.47,99,13,3.24,light rain,0.17,0.0
188,Buinsk,RU,54.95,48.28,44.6,87,0,4.34,clear sky,0.0,0.0
189,Mount Isa,AU,-20.73,139.5,60.8,31,0,14.99,clear sky,0.0,0.0
190,Alofi,NU,-19.06,-169.92,80.6,74,21,13.87,few clouds,0.0,0.0
191,Tayud,PH,10.38,123.99,86.0,74,40,5.82,scattered clouds,0.0,0.0
192,Hervey Bay,AU,-25.3,152.85,71.01,55,35,8.01,scattered clouds,0.0,0.0
193,Pacific Grove,US,36.62,-121.92,71.01,63,1,9.17,clear sky,0.0,0.0
194,Mana,GF,5.66,-53.78,77.94,87,0,8.57,clear sky,0.0,0.0
195,Uyskoye,RU,54.38,60.0,44.37,77,0,6.02,clear sky,0.0,0.0
196,Honningsvag,NO,70.98,25.97,44.44,91,100,9.98,overcast clouds,0.0,0.0
197,Torbay,CA,47.67,-52.73,52.0,66,90,13.87,overcast clouds,0.0,0.0
198,Pilar,BR,-9.6,-35.96,69.8,94,40,2.24,scattered clouds,0.0,0.0
199,Leshan,CN,29.56,103.76,72.77,95,100,2.68,light rain,0.25,0.0
200,Nurobod,UZ,40.91,69.8,77.0,29,29,2.24,scattered clouds,0.0,0.0
201,Los Llanos De Aridane,ES,28.66,-17.92,69.8,73,20,13.87,few clouds,0.0,0.0
202,Provideniya,RU,64.38,-173.3,57.2,54,25,11.18,scattered clouds,0.0,0.0
203,Caravelas,BR,-17.71,-39.25,69.57,74,0,3.0,clear sky,0.0,0.0
204,Hithadhoo,MV,-0.6,73.08,83.7,67,100,5.3,overcast clouds,0.0,0.0
205,Norman Wells,CA,65.28,-126.83,55.4,93,90,10.29,light rain,0.0,0.0
206,Codrington,AU,-38.27,141.97,54.39,78,96,7.85,overcast clouds,0.0,0.0
207,San Patricio,MX,19.22,-104.7,84.2,74,40,5.82,scattered clouds,0.0,0.0
208,San Isidro,PE,-12.12,-77.05,62.6,82,90,8.05,overcast clouds,0.0,0.0
209,Chester,US,40.13,-75.87,75.2,69,1,5.28,clear sky,0.0,0.0
210,Namwala,ZM,-15.75,26.44,46.51,88,0,1.34,clear sky,0.0,0.0
211,Quatre Cocos,MU,-20.21,57.76,69.8,83,40,10.29,shower rain,0.0,0.0
212,San Juan De Los Morros,VE,9.91,-67.35,71.53,91,58,3.56,broken clouds,0.0,0.0
213,Numaligarh,IN,26.63,93.75,81.79,86,35,0.27,light rain,0.47,0.0
214,Dingle,PH,11.0,122.67,85.68,73,95,6.24,overcast clouds,0.0,0.0
215,Masumbwe,TZ,-3.63,32.18,63.52,64,42,2.89,scattered clouds,0.0,0.0
216,Skibbereen,IE,51.55,-9.27,53.6,93,75,12.75,broken clouds,0.0,0.0
217,Heppenheim,DE,49.64,8.64,64.99,74,99,1.01,overcast clouds,0.0,0.0
218,Zhigansk,RU,66.77,123.37,68.16,67,64,10.58,broken clouds,0.0,0.0
219,Palasa,IN,18.77,84.42,82.06,74,100,6.35,overcast clouds,0.0,0.0
220,Lodingen,NO,68.41,16.0,59.0,87,0,10.29,clear sky,0.0,0.0
221,Praya,CV,14.92,-23.51,77.0,78,20,11.41,few clouds,0.0,0.0
222,Mattru,SL,7.62,-11.83,74.44,97,100,1.86,light rain,0.13,0.0
223,Uruzgan,AF,32.83,66.0,69.35,19,0,4.12,clear sky,0.0,0.0
224,Bonavista,CA,48.65,-53.11,51.3,73,100,17.6,overcast clouds,0.0,0.0
225,Safaga,EG,26.73,33.94,89.06,28,0,11.5,clear sky,0.0,0.0
226,Nishihara,JP,26.18,127.76,84.2,94,90,8.05,light intensity shower rain,2.03,0.0
227,Matay,EG,28.42,30.78,75.24,45,0,9.95,clear sky,0.0,0.0
228,Umm Kaddadah,SD,13.6,26.69,87.3,33,81,9.46,broken clouds,0.0,0.0
229,Ponta Delgada,PT,37.73,-25.67,64.4,93,40,7.49,scattered clouds,0.0,0.0
230,Quba,AZ,41.36,48.52,70.83,32,95,8.32,overcast clouds,0.0,0.0
231,Tromso,NO,69.65,18.96,50.0,61,98,2.24,overcast clouds,0.0,0.0
232,Alibag,IN,18.64,72.88,80.6,100,75,4.7,shower rain,0.0,0.0
233,Lorengau,PG,-2.02,147.27,85.77,64,21,3.76,few clouds,0.0,0.0
234,Provost,CA,52.35,-110.27,64.31,49,100,5.01,overcast clouds,0.0,0.0
235,Hukuntsi,BW,-24.0,21.75,48.54,50,0,6.82,clear sky,0.0,0.0
236,Gushikawa,JP,26.35,127.87,80.6,94,75,8.05,moderate rain,2.03,0.0
237,Honiara,SB,-9.43,159.95,89.6,62,20,9.17,few clouds,0.0,0.0
238,San Quintin,MX,30.48,-115.95,66.96,77,3,16.93,clear sky,0.0,0.0
239,Hamilton,US,39.18,-84.53,73.4,78,20,3.36,light rain,0.32,0.0
240,Gewane,ET,10.17,40.65,87.35,38,76,5.86,broken clouds,0.0,0.0
241,Kresek,ID,-6.13,106.38,88.0,83,20,4.7,haze,0.0,0.0
242,Yellowknife,CA,62.46,-114.35,80.01,36,20,12.75,few clouds,0.0,0.0
243,Roald,NO,62.58,6.13,57.99,93,100,9.17,light rain,0.0,0.0
244,Pangnirtung,CA,66.15,-65.71,47.93,58,96,2.8,overcast clouds,0.0,0.0
245,Camacha,PT,33.08,-16.33,69.8,68,40,11.41,scattered clouds,0.0,0.0
246,Kunjah,PK,32.53,73.97,80.6,69,40,4.7,smoke,0.0,0.0
247,Lavrentiya,RU,65.58,-171.0,59.49,44,0,9.42,clear sky,0.0,0.0
248,Murgab,TM,37.5,61.97,80.6,28,90,9.17,overcast clouds,0.0,0.0
249,Joacaba,BR,-27.18,-51.5,60.24,84,0,2.89,clear sky,0.0,0.0
250,Orcopampa,PE,-15.27,-72.34,45.0,49,94,2.21,overcast clouds,0.0,0.0
251,Olafsvik,IS,64.89,-23.71,52.41,80,100,19.15,overcast clouds,0.0,0.0
252,Recodo,PH,6.95,121.96,86.0,74,40,4.7,scattered clouds,0.0,0.0
253,Singarayakonda,IN,15.25,80.03,82.38,64,100,13.91,overcast clouds,0.0,0.0
254,Nome,US,64.5,-165.41,60.8,67,40,9.17,scattered clouds,0.0,0.0
255,Nalut,LY,30.33,10.85,71.55,29,0,6.69,clear sky,0.0,0.0
256,Miracema Do Tocantins,BR,-9.56,-48.4,72.66,52,0,3.71,clear sky,0.0,0.0
257,Novyy Urengoy,RU,66.08,76.63,50.2,83,5,10.78,clear sky,0.0,0.0
258,Lasa,IT,46.62,10.7,54.0,76,75,8.05,broken clouds,0.0,0.0
259,Popondetta,PG,-8.75,148.25,87.75,58,7,3.11,clear sky,0.0,0.0
260,Jerantut,MY,3.94,102.36,78.98,88,17,0.47,few clouds,0.0,0.0
261,Ambilobe,MG,-13.2,49.05,71.19,87,7,3.74,clear sky,0.0,0.0
262,Saint-Philippe,RE,-21.36,55.77,68.0,68,39,8.05,scattered clouds,0.0,0.0
263,Leningradskiy,RU,69.38,178.42,62.02,46,0,4.52,clear sky,0.0,0.0
264,Bonthe,SL,7.53,-12.51,78.12,86,100,4.76,light rain,0.14,0.0
265,Chokurdakh,RU,70.63,147.92,73.71,39,59,16.22,broken clouds,0.0,0.0
266,Thohoyandou,ZA,-22.95,30.48,51.08,45,0,4.23,clear sky,0.0,0.0
267,Lodja,CD,-3.48,23.43,71.53,62,13,1.16,few clouds,0.0,0.0
268,Cabedelo,BR,-6.98,-34.83,73.4,94,20,4.7,few clouds,0.0,0.0
269,Bay Roberts,CA,47.6,-53.26,50.0,55,99,10.07,overcast clouds,0.0,0.0
270,Oktyabrskiy,RU,54.48,53.47,43.18,86,0,4.47,clear sky,0.0,0.0
271,Galveston,US,29.37,-94.97,84.2,79,75,10.29,broken clouds,0.0,0.0
272,Mehtar Lam,AF,34.67,70.21,80.6,61,1,6.93,haze,0.0,0.0
273,Pandan,PH,14.05,124.17,85.82,71,9,7.54,clear sky,0.0,0.0
274,Jiangkou,CN,25.49,119.2,86.0,79,100,11.18,overcast clouds,0.0,0.0
275,Pawai,IN,24.27,80.17,84.51,62,95,4.09,overcast clouds,0.0,0.0
276,Bintulu,MY,3.17,113.03,80.6,88,75,3.36,broken clouds,0.0,0.0
277,Akyab,MM,20.15,92.9,82.71,84,88,13.0,light rain,0.96,0.0
278,Zhezkazgan,KZ,47.8,67.71,66.06,27,27,8.05,scattered clouds,0.0,0.0
279,Malmesbury,ZA,-33.46,18.73,57.0,93,100,8.05,overcast clouds,0.0,0.0
280,Shimoda,JP,34.67,138.95,68.0,94,75,23.04,light intensity shower rain,0.0,0.0
281,Arteaga,MX,18.47,-102.42,72.48,81,80,4.41,light rain,0.31,0.0
282,Port Elizabeth,ZA,-33.92,25.57,51.8,93,48,4.7,scattered clouds,0.0,0.0
283,Rokytnice Nad Jizerou,CZ,50.73,15.43,57.99,82,100,6.82,overcast clouds,0.0,0.0
284,Abu Samrah,SY,35.3,37.18,70.02,43,0,4.72,clear sky,0.0,0.0
285,Krasnovishersk,RU,60.41,57.08,45.82,75,86,6.02,overcast clouds,0.0,0.0
286,Port-Cartier,CA,50.03,-66.87,54.0,100,90,6.93,mist,0.0,0.0
287,Vostok,RU,46.49,135.88,53.02,95,100,3.24,overcast clouds,0.0,0.0
288,Corcoran,US,36.1,-119.56,99.0,22,1,8.05,clear sky,0.0,0.0
289,Vardo,NO,70.37,31.11,44.96,83,36,11.52,scattered clouds,0.0,0.0
290,Atar,MR,20.52,-13.05,98.01,10,0,14.9,clear sky,0.0,0.0
291,Tagusao,PH,9.19,117.81,85.44,68,100,1.92,overcast clouds,0.0,0.0
292,Truckee,US,39.33,-120.18,73.99,31,0,1.99,clear sky,0.0,0.0
293,Cherskiy,RU,68.75,161.3,81.88,28,42,17.47,scattered clouds,0.0,0.0
294,Ugoofaaru,MV,5.67,73.0,82.9,78,100,12.21,overcast clouds,0.0,0.0
295,Atchison,US,39.56,-95.12,82.0,82,100,5.46,moderate rain,3.33,0.0
296,Savannakhet,LA,16.57,104.75,84.2,74,20,2.24,few clouds,0.0,0.0
297,Constitucion,CL,-35.33,-72.42,50.68,76,97,3.15,overcast clouds,0.0,0.0
298,Alugan,PH,12.22,125.48,84.94,75,99,9.53,overcast clouds,0.0,0.0
