City_ID,City,Country,Max Temp,Current Weather Description,Lat,Lng,Hotel Name
167,Kudahuvadhoo,MV,83.73,broken clouds,2.67,72.89,Kudahuvadhoo Retreat
168,Danshui,CN,84.99,broken clouds,22.8,114.47,Grand Skylight International Hotel Huizhou
169,Fort Wellington,GY,82.83,few clouds,6.4,-57.6,TE'AMO Entertainment Park
170,Ewa Beach,US,82.4,scattered clouds,21.32,-158.01,Parkside By Gentry
172,Taguatinga,BR,82.98,broken clouds,-12.39,-46.57,
174,Ahuimanu,US,82.4,broken clouds,21.44,-157.84,Paradise Bay Resort
180,Deputatskiy,RU,76.75,clear sky,69.3,139.9,Baza Otdykha
181,San Patricio,MX,84.2,broken clouds,19.22,-104.7,Hotel Cabo Blanco
185,Itoman,JP,82.4,light rain,26.12,127.67,Southern Beach Hotel & Resort Okinawa
186,Pindamonhangaba,BR,84.2,few clouds,-22.92,-45.46,Espaço Villa Suiça Hospedagem & Lazer
188,Kedgwick,CA,82.65,few clouds,47.64,-67.34,A la Belle Etoile
191,Acapulco,MX,89.6,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
192,Miri,MY,77.0,broken clouds,4.41,114.01,"Mega Hotel, Miri"
194,Tautira,PF,82.4,few clouds,-17.73,-149.15,Pension Oaoa
198,Makakilo City,US,82.4,broken clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
199,Ixtapa,MX,87.01,few clouds,20.7,-105.2,Container Inn Puerto Vallarta
203,Tucurui,BR,84.88,few clouds,-3.77,-49.67,BBB Rooms Centro Tucurui PA
214,Kralendijk,BQ,87.8,scattered clouds,12.15,-68.27,Divi Flamingo Beach Resort & Casino
216,Chokurdakh,RU,75.63,clear sky,70.63,147.92,
222,Gigmoto,PH,81.19,overcast clouds,13.78,124.39,Cj's Travellers Inn
226,Snasa,NO,78.8,scattered clouds,64.25,12.38,Snåsa Hotell AS
228,West Wendover,US,89.6,clear sky,40.74,-114.07,"Motel 6 Wendover, UT"
232,Wahiawa,US,82.4,broken clouds,21.5,-158.02,Aloha Wahiawa
235,Santa Maria,BR,75.52,broken clouds,-29.68,-53.81,Hotel Morotin
236,Vilhena,BR,86.0,clear sky,-12.74,-60.15,Hotel Mirage
237,Mankato,US,84.99,clear sky,44.16,-94.0,Hilton Garden Inn Mankato Downtown
238,Hambantota,LK,82.11,overcast clouds,6.12,81.12,Bungalow 63
240,Kirakira,SB,79.34,overcast clouds,-10.45,161.92,SanBiz Lodge
244,Road Town,VG,89.6,few clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
245,Yarmouth,US,82.4,clear sky,41.71,-70.23,The Inn At Cape Cod
255,Gizo,SB,82.56,few clouds,-8.1,156.84,Imagination Island
256,Cayenne,GF,87.8,few clouds,4.93,-52.33,Hôtel Le Dronmi
